# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 20 10:49:05 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
#
kepid,kepoi_name
6932987,K01366.01
11014932,K01432.02
11014932,K01432.03
11014932,K01432.04
11288505,K01433.01
11493431,K01434.01
6441738,K01246.01
8801343,K01247.01
8488878,K01248.01
8560285,K01249.01
8620565,K01250.01
8616873,K01251.01
10854768,K01309.01
10964440,K01310.01
10713616,K01311.01
10963242,K01312.01
10785538,K01313.01
6932987,K01366.02
8191672,K00018.01
6851425,K00163.01
6934291,K01367.01
7357531,K01368.01
6185711,K00169.01
11037335,K01435.01
11037335,K01435.02
11389771,K01436.01
11389771,K01436.02
8737796,K01252.01
8462258,K01253.01
10925104,K00156.01
8454250,K01254.01
8494263,K01255.01
8848271,K01256.01
10585852,K01314.01
10928043,K01315.01
10794087,K01316.01
10794087,K01316.02
6541920,K00157.06
4275739,K01317.01
7287415,K01369.01
6924203,K01370.01
6878167,K01371.01
6880531,K01372.01
6863839,K01373.01
7296086,K01374.01
11389771,K01436.03
11599038,K01437.01
11193263,K01438.01
11027624,K01439.01
11032227,K01440.01
8751933,K01257.01
8630788,K01258.01
8630788,K01258.02
8630788,K01258.03
8823426,K01259.01
4070376,K01318.01
4078157,K01319.01
4164994,K01320.01
4480676,K01321.01
4079535,K01322.01
6766634,K01375.01
6774826,K01376.01
5652237,K00164.01
7211469,K01377.01
7375795,K01378.01
7255336,K00019.01
7831264,K00171.01
7802136,K01449.01
7532973,K01450.01
9632895,K01451.01
7449844,K01452.01
8766222,K01260.01
8678594,K01261.01
10925104,K00156.02
8678594,K01261.02
8703884,K01262.01
8560840,K01263.01
4076098,K01323.01
4551328,K01324.01
4282872,K01325.01
4639868,K01326.01
10555375,K00158.01
4372768,K01327.01
7375795,K01378.02
7211221,K01379.01
7025526,K01380.01
9451127,K01381.01
9446824,K01382.01
11356260,K01441.01
11044770,K00170.01
11600889,K01442.01
11197126,K01443.01
11043167,K01444.01
8612847,K01264.01
8552583,K01265.01
8547140,K01266.01
8519253,K01267.01
8813698,K01268.01
8757910,K01269.01
4074736,K01328.01
4072526,K01329.01
4150539,K01330.01
4274548,K01331.01
4455231,K01332.01
8953257,K01383.01
8971432,K01384.01
9278553,K01385.01
9527915,K00165.01
9143254,K01386.01
8949247,K01387.01
11336883,K01445.01
11336883,K01445.02
11336883,K01445.03
12506351,K01446.01
