kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
3967326,K02084.01,Kepler-1792 b,CONFIRMED,4942,9.49,2.15,4.20,0,0,0,0,1,$587^{+155}_{-144}$,$> 312$,$13\pm11$,\checkmark,Yes
5280587,K03274.01,Kepler-1451 b,CONFIRMED,5675,7.82,2.33,35.62,0,0,0,0,1,$597^{+79}_{-65}$,$> 316$,$42\pm4$,\checkmark,Yes
4278221,K01615.01,Kepler-908 b,CONFIRMED,5670,7.88,1.36,1.34,0,0,2560,0,1,$602^{+77}_{-64}$,$1317^{+1607}_{-724}$,$67\pm4$,,Yes
8564674,K02022.01,Kepler-349 b,CONFIRMED,5756,7.71,1.99,5.93,0,0,0,0,1,$617^{+102}_{-72}$,$1686^{+2185}_{-976}$,$64\pm6$,\checkmark \checkmark,Yes
8564674,K02022.02,Kepler-349 c,CONFIRMED,5756,7.71,1.97,12.25,0,0,0,0,1,$617^{+102}_{-72}$,$1686^{+2185}_{-976}$,$64\pm6$,\checkmark \checkmark,Yes
11773022,K00620.01,Kepler-51 b,CONFIRMED,5635,8.14,6.62,45.16,0,0,0,0,1,$623^{+75}_{-64}$,$> 258$,$48\pm8$,\checkmark,Yes
11773022,K00620.03,Kepler-51 c,CONFIRMED,5635,8.14,5.49,85.32,0,1,0,4,1,$623^{+75}_{-64}$,$> 258$,$48\pm8$,,Yes
11773022,K00620.02,Kepler-51 d,CONFIRMED,5635,8.14,9.04,130.18,0,0,0,0,1,$623^{+75}_{-64}$,$> 258$,$48\pm8$,\checkmark,Yes
9898447,K02803.01,Kepler-1877 b,CONFIRMED,5506,8.37,0.55,2.38,0,0,0,0,1,$624^{+69}_{-65}$,$> 726$,$3\pm12$,\checkmark,Maybe
9963524,K00720.04,Kepler-221 b,CONFIRMED,5070,9.30,1.51,2.80,0,0,0,0,1,$636^{+120}_{-115}$,$> 341$,$21\pm5$,\checkmark,Yes
9963524,K00720.01,Kepler-221 c,CONFIRMED,5070,9.30,2.86,5.69,0,0,0,0,1,$636^{+120}_{-115}$,$> 341$,$21\pm5$,\checkmark,Yes
9963524,K00720.02,Kepler-221 d,CONFIRMED,5070,9.30,2.57,10.04,0,0,0,0,1,$636^{+120}_{-115}$,$> 341$,$21\pm5$,\checkmark,Yes
9963524,K00720.03,Kepler-221 e,CONFIRMED,5070,9.30,2.58,18.37,0,1,0,4,1,$636^{+120}_{-115}$,$> 341$,$21\pm5$,,Yes
