kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
11187837,K00252.01,Kepler-1663 b,CONFIRMED,3990,79,2020AJ....159..280B,nan,nan,,26,24,,,,,,,3.01,2022AJ....163..179P,17.6,8,0,1,--,$> 76$,--
10990886,K00478.01,Kepler-568 b,CONFIRMED,3750,71,2020AJ....159..280B,34.22,1.11,2019ApJS..244...21S,5,22,,,,,,,2.3,2022AJ....163..179P,11.02,5,0,1,--,$> 78$,--
7040629,K00671.01,Kepler-208 b,CONFIRMED,6309,121,2020AJ....159..280B,nan,nan,,41,4,,,,,,,1.54,2022AJ....163..179P,4.23,1,0,1,--,$> 80$,--
7040629,K00671.02,Kepler-208 c,CONFIRMED,6309,121,2020AJ....159..280B,nan,nan,,41,4,,,,,,,1.38,2022AJ....163..179P,7.47,1,0,1,--,$> 80$,--
7040629,K00671.04,Kepler-208 d,CONFIRMED,6309,121,2020AJ....159..280B,nan,nan,,41,4,,,,,,,1.22,2022AJ....163..179P,11.13,1,0,1,--,$> 80$,--
7040629,K00671.03,Kepler-208 e,CONFIRMED,6309,121,2020AJ....159..280B,nan,nan,,41,4,,,,,,,1.43,2022AJ....163..179P,16.26,1,0,1,--,$> 80$,--
8193178,K00572.02,Kepler-187 b,CONFIRMED,6231,141,2020AJ....159..280B,nan,nan,,45,4,,,,,,,1.78,2022AJ....163..179P,4.94,519,0,1,--,$> 81$,--
8193178,K00572.01,Kepler-187 c,CONFIRMED,6231,141,2020AJ....159..280B,nan,nan,,45,4,,,,,,,3.42,2022AJ....163..179P,10.64,519,0,1,--,$> 81$,--
9070666,K03008.01,Kepler-1408 b,CONFIRMED,6335,129,2020AJ....159..280B,nan,nan,,38,3,,,,,,,1.15,2020AJ....160..108B,3.0,7,0,1,--,$> 84$,--
5511081,K01930.01,Kepler-338 b,CONFIRMED,6270,130,2020AJ....159..280B,nan,nan,,42,1,,,,,,,2.54,2022AJ....163..179P,13.73,7,0,1,--,$> 84$,--
5511081,K01930.02,Kepler-338 c,CONFIRMED,6270,130,2020AJ....159..280B,nan,nan,,42,1,,,,,,,2.43,2022AJ....163..179P,24.31,7,0,1,--,$> 84$,--
5511081,K01930.03,Kepler-338 d,CONFIRMED,6270,130,2020AJ....159..280B,nan,nan,,42,1,,,,,,,2.77,2022AJ....163..179P,44.43,7,0,1,--,$> 84$,--
5511081,K01930.04,Kepler-338 e,CONFIRMED,6270,130,2020AJ....159..280B,nan,nan,,42,1,,,,,,,1.62,2022AJ....163..179P,9.34,7,0,1,--,$> 84$,--
5364071,K00248.01,Kepler-49 b,CONFIRMED,4096,68,2020AJ....159..280B,nan,nan,,27,24,,,,,,,2.6,2022AJ....163..179P,7.2,0,0,1,--,$> 84$,--
5364071,K00248.02,Kepler-49 c,CONFIRMED,4096,68,2020AJ....159..280B,nan,nan,,27,24,,,,,,,2.32,2022AJ....163..179P,10.91,0,0,1,--,$> 84$,--
5364071,K00248.03,Kepler-49 d,CONFIRMED,4096,68,2020AJ....159..280B,nan,nan,,27,24,,,,,,,1.81,2022AJ....163..179P,2.58,0,0,1,--,$> 84$,--
5364071,K00248.04,Kepler-49 e,CONFIRMED,4096,68,2020AJ....159..280B,nan,nan,,27,24,,,,,,,1.77,2022AJ....163..179P,18.6,0,0,1,--,$> 84$,--
9892816,K01955.01,Kepler-342 b,CONFIRMED,6443,127,2020AJ....159..280B,7.25,0.07,2018MNRAS.474.2094A,30,4,,,,,,,2.07,2022AJ....163..179P,15.17,2053,4,1,--,$> 88$,--
9892816,K01955.04,Kepler-342 c,CONFIRMED,6443,127,2020AJ....159..280B,7.25,0.07,2018MNRAS.474.2094A,30,4,,,,,,,1.85,2022AJ....163..179P,26.23,2053,4,1,--,$> 88$,--
9892816,K01955.02,Kepler-342 d,CONFIRMED,6443,127,2020AJ....159..280B,7.25,0.07,2018MNRAS.474.2094A,30,4,,,,,,,2.78,2020AJ....160..108B,39.46,2053,4,1,--,$> 88$,--
9892816,K01955.03,Kepler-342 e,CONFIRMED,6443,127,2020AJ....159..280B,7.25,0.07,2018MNRAS.474.2094A,30,4,,,,,,,0.96,2022AJ....163..179P,1.64,2053,4,1,--,$> 88$,--
11457726,K02047.01,Kepler-1070 b,CONFIRMED,6265,118,2020AJ....159..280B,10.92,0.11,2018MNRAS.474.2094A,42,5,,,,,,,1.55,2022AJ....163..179P,6.22,2049,4,1,--,$> 89$,--
9480535,K03901.01,Kepler-1527 b,CONFIRMED,6106,115,2020AJ....159..280B,nan,nan,,51,5,,,,,,,5.82,2020AJ....160..108B,160.13,514,0,1,--,$> 89$,--
9450647,K00110.01,Kepler-465 b,CONFIRMED,6415,126,2020AJ....159..280B,8.30,0.08,SantosPrivComm,32,2,,,,,,,2.83,2022AJ....163..179P,9.94,5,0,1,--,$> 90$,--
7259298,K02561.01,Kepler-1278 b,CONFIRMED,6113,117,2020AJ....159..280B,nan,nan,,50,4,,,,,,,1.24,2022AJ....163..179P,3.24,516,0,1,--,$> 92$,--
8077137,K00274.01,Kepler-128 b,CONFIRMED,6411,139,2020AJ....159..280B,13.07,0.13,2015ApJ...801....3M,32,1,,,,,,,1.49,2022AJ....163..179P,15.09,2055,0,1,--,$> 92$,--
12454461,K02463.01,Kepler-1248 b,CONFIRMED,6161,,2017ApJS..229...30M,nan,nan,,47,4,,,,,,,1.04,10.26133/NEA4,7.47,642,0,1,--,$> 93$,--
10253547,K02153.02,Kepler-364 b,CONFIRMED,6308,121,2020AJ....159..280B,nan,nan,,38,3,,,,,,,1.57,2022AJ....163..179P,25.75,5,0,1,--,$> 93$,--
10253547,K02153.01,Kepler-364 c,CONFIRMED,6308,121,2020AJ....159..280B,nan,nan,,38,3,,,,,,,2.22,2022AJ....163..179P,59.98,5,4,1,--,$> 93$,--
11442793,K00351.06,Kepler-90 b,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,1.3,2022AJ....163..179P,7.01,9,0,1,--,$> 95$,--
11442793,K00351.05,Kepler-90 c,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,1.53,2022AJ....163..179P,8.72,9,0,1,--,$> 95$,--
11442793,K00351.03,Kepler-90 d,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,2.87,2022AJ....163..179P,59.74,9,0,1,--,$> 95$,--
11442793,K00351.04,Kepler-90 e,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,2.66,2022AJ....163..179P,91.94,9,0,1,--,$> 95$,--
11442793,K00351.07,Kepler-90 f,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,2.68,2022AJ....163..179P,124.92,9,4,1,--,$> 95$,--
11442793,K00351.02,Kepler-90 g,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,7.69,2022AJ....163..179P,210.6,9,0,1,--,$> 95$,--
11442793,K00351.01,Kepler-90 h,CONFIRMED,6226,106,2020AJ....159..280B,nan,nan,,43,2,,,,,,,10.78,2020AJ....160..108B,331.6,9,0,1,--,$> 95$,--
10337258,K00333.01,Kepler-527 b,CONFIRMED,6325,117,2020AJ....159..280B,6.87,0.07,2021ApJS..255...17S,37,3,,,,,,,2.6,2020AJ....160..108B,13.29,1,0,1,--,$> 97$,--
11019987,K03060.01,Kepler-1421 b,CONFIRMED,6425,143,2020AJ....159..280B,14.05,0.14,2021ApJS..255...17S,-8,8,,,,,,,1.05,2022AJ....163..179P,6.91,7,0,1,--,$> 98$,--
4914423,K00108.01,Kepler-103 b,CONFIRMED,6382,122,2020AJ....159..280B,nan,nan,,32,2,,,,,,,3.3,2022AJ....163..179P,15.97,5,0,1,--,$> 99$,--
