kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
9491832,K04226.01,,CANDIDATE,6114,135,2020AJ....159..280B,13.30,0.13,2021ApJS..255...17S,87,5,2949,450,671,725,1232,587,838,380,2.11,2020AJ....160..108B,49.56,518,0,1,$2949^{+450}_{-671}$,$587^{+838}_{-380}$,Maybe
6520753,K04504.01,,CANDIDATE,5238,100,2020AJ....159..280B,9.04,0.09,2021ApJS..255...17S,,,661,91,92,183,196,,,,1.57,2020AJ....160..108B,4.13,0,0,0,$661^{+91}_{-92}$,--,--
8639908,K02700.01,,CANDIDATE,4618,83,2020AJ....159..280B,10.90,0.11,2019ApJS..244...21S,-8,17,676,265,191,455,315,,,,1.38,2022AJ....163..179P,0.91,0,0,1,$676^{+265}_{-191}$,$> 228$,Yes
3648437,K01861.01,,CANDIDATE,5944,119,2020AJ....159..280B,6.43,0.06,2021ApJS..255...17S,73,3,706,703,205,1658,301,1125,1458,667,2.77,2022AJ....163..179P,17.5,0,0,1,$706^{+703}_{-205}$,$1125^{+1458}_{-667}$,Yes
6705142,K01758.01,,CANDIDATE,5544,108,2020AJ....159..280B,9.36,0.09,2021ApJS..255...17S,,,761,80,74,174,143,,,,3.52,2020AJ....160..108B,5.6,0,0,0,$761^{+80}_{-74}$,--,--
9634821,K02037.02,,CANDIDATE,4746,77,2020AJ....159..280B,10.80,0.11,2021AJ....161..265D,9,21,772,213,194,371,327,,,,1.75,2020AJ....160..108B,5.48,4096,0,1,$772^{+213}_{-194}$,$> 223$,Yes
9634821,K02037.03,,CANDIDATE,4746,77,2020AJ....159..280B,10.80,0.11,2021AJ....161..265D,9,21,772,213,194,371,327,,,,1.83,2020AJ....160..108B,8.56,4096,0,1,$772^{+213}_{-194}$,$> 223$,Yes
6716021,K02679.01,,CANDIDATE,6246,114,2020AJ....159..280B,2.170,0.022,2021ApJS..255...17S,79,8,,,,,,821,1487,572,13.53,2020AJ....160..108B,110.76,2049,4,1,--,$821^{+1487}_{-572}$,--
8443527,K03197.01,,CANDIDATE,6146,127,2020AJ....159..280B,7.05,0.07,2021ApJS..255...17S,76,3,1512,751,615,1302,901,899,1334,586,1.43,2022AJ....163..179P,22.6,0,0,1,$1512^{+751}_{-615}$,$899^{+1334}_{-586}$,Yes
4844367,K04498.01,,CANDIDATE,5753,102,2020AJ....159..280B,9.88,0.10,2021ApJS..255...17S,,,960,264,128,951,222,,,,21.86,2020AJ....160..108B,17.16,0,4,0,$960^{+264}_{-128}$,--,--
